pkt_index,size,rx_time_ns,tx_time_ns,delta_ns
515,64,7117876487018285,7117876487020684,2399
516,64,7117876487021608,7117876487024068,2460
517,64,7117876487025029,7117876487027434,2405
518,64,7117876487028381,7117876487030785,2404
519,64,7117876487031776,7117876487034178,2402
520,64,7117876487035143,7117876487037567,2424
521,64,7117876487038532,7117876487040952,2420
522,64,7117876487041894,7117876487044322,2428
523,64,7117876487045299,7117876487047710,2411
524,64,7117876487048631,7117876487051018,2387
525,64,7117876487052041,7117876487054428,2387
526,64,7117876487055392,7117876487057823,2431
527,64,7117876487058781,7117876487061191,2410
528,64,7117876487062164,7117876487064552,2388
529,64,7117876487065539,7117876487067930,2391
530,64,7117876487068932,7117876487071374,2442
531,64,7117876487072303,7117876487074721,2418
532,64,7117876487075677,7117876487078082,2405
533,64,7117876487079082,7117876487081492,2410
534,64,7117876487082414,7117876487084831,2417
535,64,7117876487085811,7117876487088214,2403
536,64,7117876487089153,7117876487091576,2423
537,64,7117876487092616,7117876487095022,2406
538,64,7117876487095966,7117876487098385,2419
539,64,7117876487099356,7117876487101775,2419
540,64,7117876487102748,7117876487105180,2432
541,64,7117876487106104,7117876487108485,2381
542,64,7117876487109438,7117876487111861,2423
543,64,7117876487112811,7117876487115202,2391
544,64,7117876487116501,7117876487118910,2409
545,64,7117876487119909,7117876487122298,2389
546,64,7117876487123261,7117876487125673,2412
547,64,7117876487126667,7117876487129075,2408
548,64,7117876487130000,7117876487132386,2386
549,64,7117876487133378,7117876487135768,2390
550,64,7117876487136724,7117876487139107,2383
551,64,7117876487140048,7117876487142439,2391
552,64,7117876487143355,7117876487145749,2394
553,64,7117876487146730,7117876487149124,2394
554,64,7117876487150058,7117876487152449,2391
555,64,7117876487153478,7117876487155929,2451
556,64,7117876487156820,7117876487159219,2399
557,64,7117876487160212,7117876487162664,2452
558,64,7117876487163605,7117876487165997,2392
559,64,7117876487166984,7117876487169391,2407
560,64,7117876487170298,7117876487172706,2408
561,64,7117876487173668,7117876487176084,2416
562,64,7117876487177051,7117876487179459,2408
563,64,7117876487180415,7117876487182833,2418
564,64,7117876487183795,7117876487186201,2406
565,64,7117876487187185,7117876487189603,2418
566,64,7117876487190514,7117876487192925,2411
567,64,7117876487193907,7117876487196303,2396
568,64,7117876487197212,7117876487199633,2421
569,64,7117876487200588,7117876487203011,2423
570,64,7117876487203941,7117876487206351,2410
571,64,7117876487207296,7117876487209684,2388
572,64,7117876487210584,7117876487212985,2401
573,64,7117876487213982,7117876487216400,2418
574,64,7117876487217326,7117876487219807,2481
575,64,7117876487220723,7117876487223122,2399
576,64,7117876487224465,7117876487226989,2524
577,64,7117876487227951,7117876487230362,2411
578,64,7117876487231271,7117876487233662,2391
579,64,7117876487234626,7117876487237003,2377
580,64,7117876487237932,7117876487240374,2442
